,company,description,location,salary,title
2667,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2668,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2669,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2670,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2671,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2672,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2673,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2674,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2675,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2676,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2677,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2678,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2679,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2680,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2681,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2682,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2683,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2684,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2685,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2686,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2687,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
2688,Institute for Accountable Care,Experience working with health care claims data with Medicare data experience preferred. Statistical programming in SAS and related applications using a variety…,Remote,"$90,000 - $130,000 a year",Healthcare Analyst/Statistical Programmer
2689,Mission Lane,To use distributed computing systems like Spark and Snowflake to manipulate data. You practice solid fundamentals with software engineering (test-driven…,"Richmond, VA",,Principal Data Scientist (open to remote)
2690,Owlet Baby Care,"Manage, mentor and grow a data team that includes data engineering, data operations, business analysis and data science functions.",Remote +1 location,,Director of Data & Analytics
2691,Abercrombie and Fitch Co.,"Primary objectives are to monetize our customer data platform for personalized messaging, conduct in-depth customer analyses, help understand our omni-channel…","Columbus, OH",,Jr. Data Scientist
2692,The Walt Disney Company (Corporate),Answer business questions using cloud data and cloud data analysis tooling. Understanding of data sovereignty and data localization and how they impact…,"Seattle, WA",,Staff Data Scientist
2693,Ampersand,The Machine Learning Engineering team at Ampersand is seeking a Machine Learning Engineer focused on productionizing Bayesian models developed by the Data…,"New York, NY",,Machine Learning Engineer
2694,"Fiserv, Inc.",The QA teams primary testing coverage includes functional and regression testing of our Gateway Services products. Oversee the writing of test cases/scripts.,"Alpharetta, GA",,Technology Analyst Program - Quality Assurance Testing
2695,Institute of Neuro Innovation,"Education: Undergraduate (minimum), Graduate (preferred), degree in mathematics, data science, biostatistics preferred. Patient recruitment and follow-up.","Santa Monica, CA",$26 - $50 an hour,Research Assistant/Data Analyst
2696,GalaxE.Solutions,Use gathered data to analyze test results and trends. Experienced Data quality analysis to interpret data and analyze the results.,"Whippany, NJ",,Data QA Analyst
2697,Adidas,Contributes to exploration and experimentation in data visualization. Applies standard methods to collect and analyze quantitative and qualitative data.,"Portland, OR",,Senior Manager Data Science
2698,Pfizer,Working knowledge of clinical data and relevant data standards. Clinical trials expertise with an understanding of data operations required for the reporting of…,"Collegeville, PA","$70,700 - $117,900 a year",Senior Statistical Programmer (Sr. Associate)
